bssid,frequency,rss,ssid,timeMillis,timestamp
24dec6ec5ee2,2412,-77,Welcome_1st_KAIST,1576422134427,2095097061
705dcc3e1366,2417,-62,iptime,1576422134427,2095097058
24dec6ec5ee1,2412,-78,eduroam,1576422134427,2095097056
88366c7d4f54,2412,-67,SBML2.4G,1576422134427,2095097053
d8c7c8df1112,5180,-84,Welcome_1st_KAIST,1576422134427,2095097051
d8c7c8df1111,5180,-86,Welcome_KAIST,1576422134427,2095097048
24dec6ec5ee0,2412,-77,Welcome_KAIST,1576422134427,2095097044
d8c7c8df1110,5180,-84,eduroam,1576422134427,2095097039
f8e903c1227a,5180,-82,irap container-5ghz,1576422134427,2095097036
88366cd63882,5180,-71,cbe pc room 5G-2,1576422134427,2095097030
88366cd63883,5805,-66,cbe pc room 5G-1,1576422134427,2095097025
24dec6e33e72,5745,-93,Welcome_1st_KAIST,1576422134427,2095097020
24dec6e33e71,5745,-93,eduroam,1576422134427,2095097017
24dec6e33e70,5745,-94,Welcome_KAIST,1576422134427,2095097013
909f33bb2166,5745,-79,MASS_3101_5G,1576422134427,2095097005
d8c7c8df2e42,2472,-91,Welcome_1st_KAIST,1576422134427,2095097000
24dec6e33e62,2472,-88,Welcome_1st_KAIST,1576422134427,2095096997
24dec6e33e61,2472,-91,eduroam,1576422134427,2095096992
64e5996ca9c4,2462,-96,PNEL,1576422134427,2095096986
d8c7c8de3922,2472,-95,Welcome_1st_KAIST,1576422134427,2095096983
d8c7c8de3920,2472,-94,eduroam,1576422134427,2095096977
d8c7c8df16e2,2472,-92,Welcome_1st_KAIST,1576422134427,2095096962
88366cd63883,5805,-71,cbe pc room 5G-1,1576422138269,2098953802
001a1e742292,5785,-71,Welcome_1st_KAIST,1576422138269,2098953800
001a1e742291,5785,-70,eduroam,1576422138269,2098953796
001a1e742290,5785,-71,Welcome_KAIST,1576422138269,2098953793
88366c7d4f56,5745,-73,SBML5G,1576422138269,2098953788
d8c7c8de3920,2472,-94,eduroam,1576422138269,2098953785
64e5995b627c,2472,-95,SWEET Lab,1576422138269,2098953783
909f335a5810,2472,-95,FAND4310_2G,1576422138269,2098953779
