calcAzimuth,gesture,stepLength,timeMillis
294.0519,0,0.65,1575215714860
294.0519,0,0.65,1575215715500
294.0519,0,0.65,1575215716110
294.0519,0,0.65,1575215716900
294.0519,0,0.65,1575215717670
294.0519,0,0.65,1575215718480
294.0519,0,0.65,1575215719150
294.0519,0,0.65,1575215719850
294.0519,0,0.65,1575215720450
199.79109,0,0.65,1575215721090
26.188171,0,0.65,1575215721690
219.52644,0,0.65,1575215722300
194.3458,0,0.65,1575215723070
205.7451,0,0.65,1575215723990
20.561895,0,0.65,1575215733010
126.93367,0,0.65,1575215733630
36.704697,0,0.65,1575215734240
110.98328,0,0.65,1575215734830
40.841106,0,0.65,1575215735420
116.298065,0,0.65,1575215736050
44.834057,0,0.65,1575215736640
118.321465,0,0.65,1575215737270
58.20002,0,0.65,1575215737880
123.403145,0,0.65,1575215738480
32.050064,0,0.65,1575215739070
101.78901,0,0.65,1575215739690
19.979534,0,0.65,1575215740310
103.45374,0,0.65,1575215740920
27.583225,0,0.65,1575215741550
305.95007,0,0.65,1575215742150
24.936441,0,0.65,1575215742740
25.598137,0,0.65,1575215743360
31.066631,0,0.65,1575215743960
28.332384,0,0.65,1575215744540
29.699509,0,0.65,1575215745140
88.32596,0,0.65,1575215745730
87.0793,0,0.65,1575215746320
92.27033,0,0.65,1575215746900
33.29189,0,0.65,1575215747480
62.78111,0,0.65,1575215748070
39.331432,0,0.65,1575215748670
51.05627,0,0.65,1575215749280
37.021107,0,0.65,1575215749870
44.03869,0,0.65,1575215750450
38.780388,0,0.65,1575215751020
41.40954,0,0.65,1575215751600
47.073013,0,0.65,1575215752210
44.75717,0,0.65,1575215752780
41.19821,0,0.65,1575215753370
42.97769,0,0.65,1575215753990
49.532,0,0.65,1575215754610
30.346672,0,0.65,1575215755200
20.753838,0,0.65,1575215755830
21.196129,0,0.65,1575215756430
30.193272,0,0.65,1575215757060
28.173052,0,0.65,1575215757650
29.967882,0,0.65,1575215758220
61.88555,0,0.65,1575215758840
52.301064,0,0.65,1575215759430
57.093307,0,0.65,1575215760010
19.520119,0,0.65,1575215760660
38.306713,0,0.65,1575215761240
31.412481,0,0.65,1575215761860
34.338623,0,0.65,1575215762520
33.058296,0,0.65,1575215763140
33.69846,0,0.65,1575215763770
23.623953,0,0.65,1575215764390
32.043793,0,0.65,1575215765020
33.28254,0,0.65,1575215765660
24.552336,0,0.65,1575215766270
23.286036,0,0.65,1575215766890
23.919186,0,0.65,1575215767520
18.768372,0,0.65,1575215768150
47.906315,0,0.65,1575215768740
53.356953,0,0.65,1575215769360
31.166996,0,0.65,1575215769980
34.205593,0,0.65,1575215770580
37.536716,0,0.65,1575215771200
35.02083,0,0.65,1575215771820
16.780895,0,0.65,1575215772460
9.71876,0,0.65,1575215773070
10.2883625,0,0.65,1575215773700
12.76883,0,0.65,1575215774340
11.528596,0,0.65,1575215774940
33.916294,0,0.65,1575215775540
44.446003,0,0.65,1575215776160
42.834324,0,0.65,1575215776770
43.640163,0,0.65,1575215777350
17.558304,0,0.65,1575215777950
30.31243,0,0.65,1575215778580
31.509542,0,0.65,1575215779180
30.910986,0,0.65,1575215779810
23.107231,0,0.65,1575215780390
13.259658,0,0.65,1575215781040
23.223288,0,0.65,1575215781620
34.875347,0,0.65,1575215782190
40.54605,0,0.65,1575215782750
37.710697,0,0.65,1575215783360
46.522343,0,0.65,1575215783930
