,timeMillis,timeNanos,value
493,1573436614319,4702705986726479,1006.2217
494,1573436614399,4702706066724916,1006.25195
495,1573436614479,4702706146724916,1006.25195
496,1573436614559,4702706226724916,1006.2256
497,1573436614639,4702706306724916,1006.1953
498,1573436614719,4702706386724916,1006.1787
499,1573436614799,4702706466724916,1006.209
500,1573436614879,4702706546724916,1006.2388
501,1573436614960,4702706626724916,1006.26904
502,1573436615039,4702706706724916,1006.2837
503,1573436615119,4702706786724916,1006.2539
504,1573436615201,4702706866726479,1006.2236300000001
505,1573436615280,4702706946724916,1006.19385
506,1573436615359,4702707026724916,1006.1636
507,1573436615440,4702707106724916,1006.19385
508,1573436615519,4702707186724916,1006.2236300000001
509,1573436615600,4702707266724916,1006.2539
510,1573436615680,4702707346724916,1006.2388
511,1573436615759,4702707426724916,1006.209
512,1573436615840,4702707506724916,1006.1787
513,1573436615931,4702707586726479,1006.1972699999999
514,1573436615999,4702707666724916,1006.2275400000001
515,1573436616079,4702707746724916,1006.2573
516,1573436616159,4702707826724916,1006.2876
517,1573436616241,4702707906724916,1006.2724599999999
518,1573436616320,4702707986724916,1006.2427
519,1573436616399,4702708066724916,1006.2124
520,1573436616480,4702708146724916,1006.1826
521,1573436616559,4702708226724916,1006.1909
522,1573436616639,4702708306724916,1006.2168
523,1573436616719,4702708386724916,1006.2168
524,1573436616800,4702708466724916,1006.2466
525,1573436616880,4702708546724916,1006.2173
526,1573436616959,4702708626724916,1006.187
527,1573436617040,4702708706724916,1006.20215
528,1573436617120,4702708786724916,1006.2324
529,1573436617204,4702708866724916,1006.2622
530,1573436617280,4702708946724916,1006.27734
531,1573436617359,4702709026724916,1006.2622
532,1573436617439,4702709106724916,1006.2324
533,1573436617519,4702709186724916,1006.20215
534,1573436617599,4702709266724916,1006.1723599999999
535,1573436617679,4702709346724916,1006.18164
536,1573436617759,4702709426724916,1006.2119
537,1573436617839,4702709506724916,1006.2417
538,1573436617926,4702709586726479,1006.25684
539,1573436617999,4702709666724916,1006.22705
540,1573436618079,4702709746724916,1006.1968
541,1573436618159,4702709826724916,1006.1968
542,1573436618239,4702709906726479,1006.2026400000001
543,1573436618320,4702709986724916,1006.2329
544,1573436618399,4702710066724916,1006.2627
545,1573436618479,4702710146724916,1006.26465
546,1573436618559,4702710226724916,1006.2348599999999
547,1573436618639,4702710306724916,1006.2046
548,1573436618719,4702710386724916,1006.1748
549,1573436618799,4702710466724916,1006.2041
550,1573436618879,4702710546724916,1006.2344
551,1573436618959,4702710626724916,1006.26416
552,1573436619040,4702710706724916,1006.29443
553,1573436619119,4702710786724916,1006.26416
554,1573436619200,4702710866726479,1006.2344
555,1573436619281,4702710946724916,1006.20654
556,1573436619359,4702711026724916,1006.2363
557,1573436619439,4702711106726479,1006.2666
558,1573436619519,4702711186724916,1006.2964
559,1573436619599,4702711266724916,1006.28125
560,1573436619679,4702711346726479,1006.25146
561,1573436619759,4702711426724916,1006.2212
562,1573436619840,4702711506724916,1006.1914
563,1573436619947,4702711586724916,1006.1914
564,1573436619999,4702711666724916,1006.2212
565,1573436620079,4702711746724916,1006.25146
566,1573436620215,4702711826726479,1006.28125
567,1573436620239,4702711906726479,1006.25146
568,1573436620321,4702711986724916,1006.2212
569,1573436620400,4702712066724916,1006.20654
570,1573436620480,4702712146724916,1006.21875
571,1573436620559,4702712226724916,1006.24854
572,1573436620640,4702712306724916,1006.2788
573,1573436620719,4702712386724916,1006.2793
574,1573436620800,4702712466724916,1006.2495
575,1573436620880,4702712546724916,1006.21924
