,timeMillis,timeNanos,x,y,z
343,1573436376642,4702468297894915,144.51,-16.4,-7.5
344,1573436376657,4702468317894915,144.45999,-16.529999,-7.49
345,1573436376678,4702468337894915,144.44,-16.68,-7.48
346,1573436376697,4702468357894915,144.47,-16.779999,-7.49
347,1573436376718,4702468377893353,144.52,-16.82,-7.5299997
348,1573436376738,4702468397894915,144.56,-16.789998999999998,-7.5699997
349,1573436376759,4702468417893353,144.58,-16.72,-7.5699997
350,1573436376777,4702468437894915,144.56,-16.66,-7.54
351,1573436376798,4702468457893353,144.53,-16.6,-7.49
352,1573436376817,4702468477893353,144.5,-16.56,-7.46
353,1573436376838,4702468497893353,144.52,-16.51,-7.46
354,1573436376857,4702468517893353,144.56,-16.449999,-7.5
355,1573436376879,4702468537894915,144.62,-16.43,-7.5299997
356,1573436376898,4702468557894915,144.62,-16.48,-7.56
357,1573436376918,4702468577893353,144.59,-16.59,-7.5699997
358,1573436376942,4702468597894915,144.56,-16.68,-7.58
359,1573436376958,4702468617893353,144.55,-16.72,-7.6299996
360,1573436376977,4702468637894915,144.53,-16.72,-7.68
361,1573436376997,4702468657893353,144.51,-16.72,-7.74
362,1573436377017,4702468677893353,144.45999,-16.779999,-7.79
363,1573436377042,4702468697893353,144.43,-16.82,-7.8199997
364,1573436377057,4702468717893353,144.43,-16.84,-7.8399997
365,1573436377078,4702468737894915,144.45999,-16.81,-7.87
366,1573436377097,4702468757910540,144.48998999999998,-16.699999,-7.94
367,1573436377118,4702468777893353,144.52,-16.55,-8.05
368,1573436377137,4702468797894915,144.53,-16.48,-8.17
369,1573436377160,4702468817893353,144.55,-16.539998999999998,-8.28
370,1573436377177,4702468837894915,144.58,-16.66,-8.349999
371,1573436377198,4702468857894915,144.62999,-16.81,-8.41
372,1573436377218,4702468877893353,144.62999,-16.99,-8.48
373,1573436377238,4702468897894915,144.62,-17.14,-8.57
374,1573436377257,4702468917894915,144.62,-17.25,-8.69
375,1573436377278,4702468937894915,144.65,-17.279999,-8.86
376,1573436377297,4702468957894915,144.67,-17.279999,-9.099999
377,1573436377317,4702468977893353,144.75,-17.25,-9.32
378,1573436377337,4702468997893353,144.86,-17.16,-9.53
379,1573436377358,4702469017893353,144.98998999999998,-17.07,-9.769999499999999
380,1573436377378,4702469037893353,145.12,-17.0,-9.98
381,1573436377398,4702469057893353,145.20999,-17.029999,-10.179999
382,1573436377417,4702469077894915,145.27,-17.15,-10.38
383,1573436377438,4702469097894915,145.36,-17.27,-10.46
384,1573436377457,4702469117893353,145.44,-17.199999,-10.55
385,1573436377478,4702469137893353,145.51,-17.06,-10.679999
386,1573436377497,4702469157893353,145.56999,-17.0,-10.79
387,1573436377518,4702469177894915,145.59999,-17.02,-10.86
388,1573436377538,4702469197893353,145.56999,-17.14,-10.88
389,1573436377557,4702469217893353,145.55,-17.289998999999998,-10.889999000000001
390,1573436377577,4702469237894915,145.53,-17.449999,-10.92
391,1573436377599,4702469257893353,145.52,-17.59,-10.969999000000001
392,1573436377617,4702469277894915,145.54,-17.67,-11.04
393,1573436377638,4702469297894915,145.56999,-17.72,-11.08
394,1573436377658,4702469317893353,145.59,-17.76,-11.11
395,1573436377678,4702469337894915,145.59,-17.8,-11.17
396,1573436377697,4702469357893353,145.59,-17.84,-11.23
397,1573436377718,4702469377894915,145.59999,-17.84,-11.28
398,1573436377738,4702469397893353,145.64,-17.8,-11.33
399,1573436377758,4702469417893353,145.68,-17.72,-11.37
400,1573436377779,4702469437893353,145.73,-17.63,-11.4
401,1573436377798,4702469457894915,145.75,-17.58,-11.4
402,1573436377817,4702469477894915,145.76,-17.57,-11.4
403,1573436377838,4702469497893353,145.76,-17.539998999999998,-11.4
404,1573436377857,4702469517893353,145.78,-17.49,-11.41
405,1573436377878,4702469537894915,145.8,-17.49,-11.429999
406,1573436377897,4702469557893353,145.81,-17.56,-11.42
407,1573436377918,4702469577894915,145.81999,-17.65,-11.42
408,1573436377937,4702469597894915,145.84999,-17.72,-11.41
409,1573436377957,4702469617893353,145.87,-17.76,-11.38
410,1573436377977,4702469637893353,145.87999,-17.75,-11.349999
411,1573436377998,4702469657893353,145.87999,-17.71,-11.309999000000001
412,1573436378017,4702469677893353,145.87,-17.63,-11.25
413,1573436378041,4702469697893353,145.86,-17.51,-11.2
414,1573436378057,4702469717893353,145.87,-17.43,-11.15
415,1573436378078,4702469737893353,145.87999,-17.32,-11.099999
416,1573436378097,4702469757893353,145.87999,-17.24,-11.05
417,1573436378119,4702469777893353,145.89,-17.119999,-11.0
418,1573436378137,4702469797893353,145.91,-16.94,-10.98
419,1573436378158,4702469817893353,145.94,-16.77,-10.94
420,1573436378177,4702469837893353,145.94,-16.74,-10.86
421,1573436378197,4702469857893353,145.87999,-16.82,-10.79
422,1573436378217,4702469877893353,145.81999,-16.91,-10.74
423,1573436378238,4702469897893353,145.81999,-16.93,-10.7
424,1573436378258,4702469917893353,145.86,-16.89,-10.639999000000001
425,1573436378277,4702469937893353,145.87,-16.83,-10.57
426,1573436378297,4702469957893353,145.84999,-16.74,-10.48
427,1573436378318,4702469977893353,145.81,-16.63,-10.33
428,1573436378337,4702469997893353,145.72,-16.51,-10.179999
429,1573436378357,4702470017893353,145.59999,-16.38,-10.019999499999999
430,1573436378377,4702470037893353,145.48,-16.22,-9.809999000000001
431,1573436378398,4702470057893353,145.34999,-16.039998999999998,-9.61
432,1573436378417,4702470077893353,145.19,-15.889999,-9.4
433,1573436378437,4702470097893353,144.95999,-15.83,-9.16
434,1573436378457,4702470117893353,144.69,-15.86,-8.929999
435,1573436378478,4702470137893353,144.44,-15.95,-8.63
436,1573436378497,4702470157894915,144.25,-16.02,-8.33
437,1573436378518,4702470177893353,144.08,-16.06,-8.059999000000001
438,1573436378539,4702470197893353,143.94,-16.02,-7.85
439,1573436378558,4702470217893353,143.87,-15.94,-7.71
440,1573436378577,4702470237893353,143.81,-15.799999,-7.56
441,1573436378597,4702470257893353,143.72,-15.69,-7.45
442,1573436378617,4702470277893353,143.62999,-15.589998999999999,-7.3399997
443,1573436378638,4702470297894915,143.56,-15.509998999999999,-7.24
444,1573436378657,4702470317894915,143.5,-15.41,-7.14
445,1573436378677,4702470337893353,143.45999,-15.299999,-7.06
446,1573436378697,4702470357893353,143.42,-15.179998999999999,-7.02
447,1573436378718,4702470377894915,143.37999,-15.04,-7.0
448,1573436378737,4702470397894915,143.37,-14.92,-6.96
449,1573436378757,4702470417893353,143.36,-14.83,-6.92
450,1573436378777,4702470437893353,143.34999,-14.769999499999999,-6.8999996
451,1573436378798,4702470457893353,143.34999,-14.69,-6.8599997
452,1573436378817,4702470477893353,143.37999,-14.61,-6.81
453,1573436378838,4702470497893353,143.4,-14.549999,-6.79
454,1573436378857,4702470517893353,143.41,-14.49,-6.7799997
455,1573436378878,4702470537894915,143.42,-14.429998999999999,-6.77
456,1573436378904,4702470557894915,143.43,-14.38,-6.75
457,1573436378917,4702470577893353,143.44,-14.34,-6.74
